分类: 📺央视频道, 名称: CCTV-1, 有效: 1, IPv4: 45, IPv6: 0, 最小延迟: 752 ms, 最高速率: 4.79 M/s, 平均速率: 4.79 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 43, IPv6: 0, 最小延迟: 80 ms, 最高速率: 10.84 M/s, 平均速率: 4.38 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-3, 有效: 6, IPv4: 48, IPv6: 0, 最小延迟: 75 ms, 最高速率: 11.60 M/s, 平均速率: 3.60 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 6, IPv4: 42, IPv6: 0, 最小延迟: 56 ms, 最高速率: 18.71 M/s, 平均速率: 8.35 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 828 ms, 最高速率: 4.91 M/s, 平均速率: 1.86 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5+, 有效: 3, IPv4: 27, IPv6: 0, 最小延迟: 1010 ms, 最高速率: 4.99 M/s, 平均速率: 2.44 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-6, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 678 ms, 最高速率: 6.11 M/s, 平均速率: 2.99 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 42, IPv6: 0, 最小延迟: 75 ms, 最高速率: 11.53 M/s, 平均速率: 4.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-8, 有效: 3, IPv4: 41, IPv6: 0, 最小延迟: 492 ms, 最高速率: 8.09 M/s, 平均速率: 4.85 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 4, IPv4: 45, IPv6: 0, 最小延迟: 94 ms, 最高速率: 25.43 M/s, 平均速率: 11.55 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-10, 有效: 2, IPv4: 40, IPv6: 0, 最小延迟: 21 ms, 最高速率: 4.66 M/s, 平均速率: 4.48 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 39, IPv6: 0, 最小延迟: 76 ms, 最高速率: 14.68 M/s, 平均速率: 8.37 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 36, IPv6: 0, 最小延迟: 22 ms, 最高速率: 11.09 M/s, 平均速率: 6.21 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-13, 有效: 3, IPv4: 38, IPv6: 0, 最小延迟: 849 ms, 最高速率: 5.09 M/s, 平均速率: 3.50 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 3, IPv4: 38, IPv6: 0, 最小延迟: 511 ms, 最高速率: 8.68 M/s, 平均速率: 7.24 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 3, IPv4: 49, IPv6: 0, 最小延迟: 487 ms, 最高速率: 7.44 M/s, 平均速率: 4.17 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 18, IPv6: 0, 最小延迟: 597 ms, 最高速率: 8.76 M/s, 平均速率: 4.28 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-17, 有效: 4, IPv4: 25, IPv6: 0, 最小延迟: 578 ms, 最高速率: 7.26 M/s, 平均速率: 3.32 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-1, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 53 ms, 最高速率: 19.73 M/s, 平均速率: 19.59 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-2, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 53 ms, 最高速率: 21.10 M/s, 平均速率: 19.70 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 4, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 21, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 35, IPv6: 0, 最小延迟: 76 ms, 最高速率: 11.43 M/s, 平均速率: 5.03 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广东卫视, 有效: 3, IPv4: 39, IPv6: 0, 最小延迟: 78 ms, 最高速率: 17.17 M/s, 平均速率: 12.20 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 6, IPv4: 42, IPv6: 0, 最小延迟: 76 ms, 最高速率: 11.53 M/s, 平均速率: 4.48 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 北京卫视, 有效: 3, IPv4: 36, IPv6: 0, 最小延迟: 70 ms, 最高速率: 11.41 M/s, 平均速率: 7.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 2, IPv4: 35, IPv6: 0, 最小延迟: 78 ms, 最高速率: 11.26 M/s, 平均速率: 8.16 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 2, IPv4: 28, IPv6: 0, 最小延迟: 77 ms, 最高速率: 11.31 M/s, 平均速率: 9.19 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 1, IPv4: 29, IPv6: 0, 最小延迟: 485 ms, 最高速率: 8.43 M/s, 平均速率: 8.43 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 35, IPv6: 0, 最小延迟: 75 ms, 最高速率: 17.22 M/s, 平均速率: 11.89 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 4, IPv4: 33, IPv6: 0, 最小延迟: 77 ms, 最高速率: 11.35 M/s, 平均速率: 7.22 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 1, IPv4: 23, IPv6: 0, 最小延迟: 563 ms, 最高速率: 3.92 M/s, 平均速率: 3.92 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 1, IPv4: 21, IPv6: 0, 最小延迟: 495 ms, 最高速率: 6.61 M/s, 平均速率: 6.61 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 2, IPv4: 25, IPv6: 0, 最小延迟: 77 ms, 最高速率: 11.48 M/s, 平均速率: 11.34 M/s, 最高分辨率: 1280x720
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 2, IPv4: 27, IPv6: 0, 最小延迟: 76 ms, 最高速率: 11.47 M/s, 平均速率: 8.17 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 0, IPv4: 24, IPv6: 0, 最小延迟: 32 ms, 最高速率: 0.50 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 1, IPv4: 22, IPv6: 0, 最小延迟: 837 ms, 最高速率: 4.22 M/s, 平均速率: 4.22 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 2, IPv4: 36, IPv6: 0, 最小延迟: 59 ms, 最高速率: 11.13 M/s, 平均速率: 7.67 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 1, IPv4: 25, IPv6: 0, 最小延迟: 476 ms, 最高速率: 8.65 M/s, 平均速率: 8.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 4, IPv4: 38, IPv6: 0, 最小延迟: 79 ms, 最高速率: 11.18 M/s, 平均速率: 6.55 M/s, 最高分辨率: 1920x1080
